"LSOA11CD","imdscore","imdrank"
"E01000306",17.095,16672
"E01000308",48.14,2575
"E01000312",26.802,9827
"E01000313",24.556,11102
"E01000145",13.779,19850
"E01000215",12.912,20770
"E01000218",13.409,20254
"E01000219",16.94,16802
"E01000220",16.161,17487
"E01000225",11.322,22611
"E01000135",13.169,20498
"E01000136",9.403,24951
"E01000144",20.943,13510
"E01000146",18.061,15838
"E01000214",11.802,22030
"E01000141",34.111,6489
"E01000221",43.955,3428
"E01000223",34.368,6385
"E01000307",23.755,11581
"E01000138",30.258,8122
"E01000142",20.585,13777
"E01000222",29.796,8327
"E01000224",20.186,14073
"E01000137",32.693,7050
"E01000139",13.54,20124
"E01000140",17.663,16180
"E01000143",34.599,6313
"E01007434",26.098,10231
"E01007435",43.97,3425
"E01007438",17.64,16189
"E01007439",13.394,20268
"E01007433",29.204,8613
"E01007436",23.922,11482
"E01007437",31.43,7556
"E01007440",40.922,4248
"E01007329",26.163,10200
"E01007331",19.47,14678
"E01007342",24.482,11157
"E01007343",35.799,5842
"E01007356",13.067,20612
"E01007357",27.755,9318
"E01007361",17.464,16360
"E01007362",9.444,24894
"E01007363",32.499,7115
"E01007355",9.615,24690
"E01007358",12.687,21022
"E01007359",22.953,12072
"E01007360",18.537,15439
"E01007386",7.909,26858
"E01007328",43.299,3584
"E01007330",24.688,11020
"E01007332",46.573,2868
"E01007333",47.274,2737
"E01007323",36.28,5673
"E01007324",39.303,4719
"E01007325",60.834,861
"E01007326",42.987,3660
"E01007327",46.961,2786
"E01007411",68.492,345
"E01007341",57.355,1180
"E01007345",28.315,9010
"E01007346",29.985,8247
"E01007347",16.608,17103
"E01007334",12.27,21485
"E01007335",16.368,17318
"E01007400",13.353,20322
"E01007404",14.955,18684
"E01007406",50.09,2206
"E01007408",17.333,16476
"E01007409",15.583,18055
"E01007410",45.775,3016
"E01032550",29.796,8326
"E01032551",15.687,17936
"E01007344",25.37,10660
"E01007402",55.923,1356
"E01007403",51.075,2045
"E01007405",38.328,5033
"E01007379",10.587,23506
"E01007380",7.077,27878
"E01007381",12.097,21682
"E01007387",16.118,17523
"E01007442",6.528,28563
"E01007444",24.215,11311
"E01007446",15.342,18285
"E01007336",34.628,6301
"E01007340",36.994,5450
"E01007415",23.822,11536
"E01007417",37.615,5257
"E01007441",22.348,12498
"E01007443",35.995,5771
"E01007445",25.486,10592
"E01007372",63.822,621
"E01007373",57.571,1156
"E01007374",29.551,8436
"E01007375",30.503,7987
"E01007377",60.126,925
"E01007378",65.615,504
"E01007319",15.941,17686
"E01007321",13.475,20198
"E01007322",29.373,8524
"E01007337",28.906,8739
"E01007418",9.312,25067
"E01007419",6.12,29047
"E01007420",9.141,25270
"E01007425",7.046,27912
"E01007338",64.458,573
"E01007339",47.206,2747
"E01007413",60.864,859
"E01007414",38.74,4879
"E01007317",50.757,2093
"E01007318",49.377,2329
"E01007320",46.176,2935
"E01007416",57.865,1128
"E01007382",22.758,12229
"E01007383",8.681,25866
"E01007384",11.364,22567
"E01007385",33.338,6788
"E01007348",42.877,3687
"E01007349",34.845,6212
"E01007350",20.3,13985
"E01007351",31.398,7570
"E01007352",46.997,2779
"E01007353",23.498,11747
"E01007354",25.919,10331
"E01007458",32.142,7275
"E01007459",20.566,13786
"E01007460",22.878,12138
"E01007461",47.401,2716
"E01007462",49.627,2286
"E01007463",60.602,878
"E01007369",62.501,724
"E01007370",55.457,1409
"E01007371",33.532,6701
"E01007376",51.401,1983
"E01007447",31.226,7645
"E01007448",41.567,4042
"E01007449",30.688,7909
"E01007450",48.089,2586
"E01007427",10.799,23260
"E01007428",7.959,26794
"E01007429",28.219,9058
"E01007430",4.173,31112
"E01007431",10.532,23572
"E01007432",7.622,27219
"E01007364",40.519,4367
"E01007365",46.87,2809
"E01007366",18.099,15800
"E01007367",48.988,2421
"E01007368",33.229,6833
"E01007451",35.998,5770
"E01007452",16.741,16978
"E01007453",51.126,2035
"E01007455",16.244,17427
"E01032924",10.953,23066
"E01032925",30.779,7863
"E01007421",14.367,19268
"E01007422",9.319,25055
"E01007423",12.718,20991
"E01007426",16.307,17386
